Sources,Keywords,Total Weights
Facebook posts,Putin,41.4
Facebook posts,Trump,27.2
Facebook posts,Russia,26.6
Facebook posts,Ukraine,26.2
Instagram posts,Russia,24.6
Facebook posts,Biden,22.2
Instagram posts,Ukraine,18.6
Facebook posts,Zelensky,14.2
Donald Trump,Trump,12.0
Instagram posts,Biden,10.8
Viral image,Putin,10.8
Viral image,Russia,10.2
Viral image,Ukraine,10.0
Instagram posts,Trump,9.8
Donald Trump,Biden,8.6
Viral image,Trump,7.8
Instagram posts,Putin,7.6
Bloggers,Putin,7.6
Viral image,Biden,7.0
Joe Biden,Biden,6.2
Donald Trump,Zelensky,6.2
Threads posts,Trump,6.0
X posts,Biden,5.2
Viral image,Zelensky,4.8
X posts,Trump,4.8
Donald Trump,Ukraine,4.2
TikTok posts,Ukraine,4.2
TikTok posts,Putin,4.0
TikTok posts,Russia,4.0
Bloggers,Ukraine,3.8
X posts,Putin,3.6
X posts,Russia,3.6
X posts,Ukraine,3.4
Tweets,Putin,3.4
Bloggers,Russia,2.8
Instagram posts,Zelensky,2.6
Robert F. Kennedy Jr.,Trump,2.6
Joe Biden,Trump,2.4
Donald Trump,Russia,2.4
Threads posts,Biden,2.4
TikTok posts,Biden,2.4
Joe Biden,Putin,2.2
Joe Biden,Russia,2.0
Donald Trump,Putin,1.8
Tucker Carlson,Russia,1.8
Tweets,Zelensky,1.8
Tweets,Russia,1.8
Tweets,Ukraine,1.8
Social Media,Trump,1.6
Social Media,Russia,1.6
Social Media,Ukraine,1.6
Joe Biden,Ukraine,1.6
Threads posts,Ukraine,1.6
Benny Johnson,Trump,1.6
Robert F. Kennedy Jr.,Biden,1.6
TikTok posts,Trump,1.6
MAGA Inc,Biden,1.4
MAGA Inc,Trump,1.4
Marco Rubio,Biden,1.2
Sean Hannity,Biden,1
Sean Hannity,Trump,1
Matt Maddock,Biden,1
Alex Jones,Trump,1
Alex Jones,Russia,1
Tucker Carlson,Putin,1
Tucker Carlson,Ukraine,1
Pearson Sharp,Putin,1
Pearson Sharp,Zelensky,1
Tulsi Gabbard,Putin,1
Russian Embassy in Canada,Putin,1
One America News,Zelensky,1
Citizens for Sanity,Russia,1
Andy Biggs,Ukraine,1
George Santos,Ukraine,1
Social Media,Biden,0.8
Social Media,Putin,0.8
Mike Johnson,Biden,0.8
Mike Johnson,Trump,0.8
Mike Johnson,Ukraine,0.8
Threads posts,Russia,0.8
Ron Johnson,Biden,0.8
Ron Johnson,Trump,0.8
Benny Johnson,Biden,0.8
Benny Johnson,Ukraine,0.8
Rick Scott,Biden,0.8
Kamala Harris,Biden,0.8
Ron DeSantis,Biden,0.8
Kelly Daughtry,Biden,0.8
Kelly Daughtry,Trump,0.8
Derrick Van Orden,Biden,0.8
Derrick Van Orden,Trump,0.8
Kristi Noem,Biden,0.8
Kristi Noem,Trump,0.8
J.D. Vance,Zelensky,0.8
J.D. Vance,Russia,0.8
J.D. Vance,Ukraine,0.8
Andrew Tate,Biden,0.8
Brian Kilmeade,Biden,0.8
Katie Britt,Biden,0.8
Franklin Graham,Biden,0.8
Franklin Graham,Trump,0.8
Jesse Watters,Trump,0.8
Bloggers,Zelensky,0.8
Vladimir Putin,Putin,0.8
Sergey Lavrov,Putin,0.8
Marjorie Taylor Greene,Zelensky,0.8
Marjorie Taylor Greene,Russia,0.8
Marjorie Taylor Greene,Ukraine,0.8
Michael Savage,Zelensky,0.8
YouTube videos,Zelensky,0.8
George Papadopoulos,Zelensky,0.8
Jeanne Ives,Zelensky,0.8
Rand Paul,Zelensky,0.8
Adam Schiff,Zelensky,0.8
Vivek Ramaswamy,Russia,0.8
Chris Christie,Ukraine,0.8
Nikki Haley,Ukraine,0.8
Michael McCaul,Ukraine,0.8
Peggy Hubbard,Ukraine,0.8
Tom Tiffany,Russia,0.6
Ron Johnson,Russia,0.6
MAGA Inc,Putin,0.6
MAGA Inc,Russia,0.6
Kamala Harris,Ukraine,0.6
Nancy Pelosi,Putin,0.6
Greg Steube,Biden,0.6
Brian Schimming,Biden,0.6
Nancy Mace,Biden,0.6
J.D. Vance,Biden,0.6
J.D. Vance,Trump,0.6
Ronna McDaniel,Biden,0.6
Ronna McDaniel,Trump,0.6
Eric Hovde,Russia,0.6
Pete Buttigieg,Biden,0.6
Pete Buttigieg,Trump,0.6
Mike Pence,Ukraine,0.6
Whoopi Goldberg,Putin,0.6
Richard Hudson,Putin,0.6
Richard Hudson,Russia,0.6
Richard Hudson,Ukraine,0.6
Pat McCrory,Putin,0.6
VoteVets,Putin,0.6
VoteVets,Zelensky,0.6
Evan McMullin,Putin,0.6
Evan McMullin,Zelensky,0.6
Jim Sensenbrenner,Zelensky,0.6
Matt Gaetz,Zelensky,0.6
Mark Levin,Zelensky,0.6
Charlie Kirk,Zelensky,0.6
Robin Vos,Russia,0.6
Robin Vos,Ukraine,0.6
Chris Christie,Russia,0.6
Ted Cruz,Russia,0.6
Ted Cruz,Ukraine,0.6
Tom Tiffany,Biden,0.4
Tom Tiffany,Trump,0.4
Jared Polis,Biden,0.4
Jared Polis,Trump,0.4
Nancy Pelosi,Biden,0.4
Nancy Pelosi,Trump,0.4
Ron DeSantis,Russia,0.4
Ron DeSantis,Ukraine,0.4
J.D. Vance,Putin,0.4
Jeanette Nuñez,Biden,0.4
Eric Hovde,Biden,0.4
Eric Hovde,Trump,0.4
Gavin Newsom,Putin,0.4
Mike Pence,Putin,0.4
Joe Manchin,Putin,0.4
Joni Ernst,Putin,0.4
John Cornyn,Putin,0.4
Vivek Ramaswamy,Ukraine,0.4
Chris Rose,Russia,0.4
Chris Rose,Ukraine,0.4
Carol Miller,Ukraine,0.4
Kevin McCarthy,Ukraine,0.4
Bill Cassidy,Ukraine,0.4
Tammy Baldwin,Biden,0.2
Tammy Baldwin,Trump,0.2
Kamala Harris,Trump,0.2
Simon Rosenberg,Biden,0.2
Simon Rosenberg,Trump,0.2
Val Demings,Zelensky,0.2
Jim Himes,Zelensky,0.2
Bryan Steil,Russia,0.2
Nikki Haley,Russia,0.2
West Virginia Republican Party,Ukraine,0.2
Brian Schimming,Trump,0
Sarah Godlewski,Biden,0
Sarah Godlewski,Trump,0
Morgan Luttrell,Putin,0
Morgan Luttrell,Russia,0
Morgan Luttrell,Ukraine,0
Marianne Williamson,Russia,0
Mark Pocan,Ukraine,0
